Country code,Country name,Series code,Series name,SCALE
ABW,Aruba,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0
ADO,Andorra,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0
AFG,Afghanistan,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0
AGO,Angola,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0
ALB,Albania,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0
ARE,United Arab Emirates,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0
ARG,Argentina,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0
ARM,Armenia,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0
ASM,American Samoa,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0
ATG,Antigua and Barbuda,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0
AUS,Australia,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0
AUT,Austria,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0
AZE,Azerbaijan,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0
BDI,Burundi,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0
BEL,Belgium,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0
BEN,Benin,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0
BFA,Burkina Faso,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0
BGD,Bangladesh,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0
BGR,Bulgaria,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0
BHR,Bahrain,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0
BHS,"Bahamas, The",AG.LND.EL5M.ZS,Land area below 5m (% of land area),0
BIH,Bosnia and Herzegovina,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0
BLR,Belarus,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0
BLZ,Belize,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0
BMU,Bermuda,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0
BOL,Bolivia,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0
BRA,Brazil,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0
BRB,Barbados,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0
BRN,Brunei Darussalam,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0
BTN,Bhutan,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0
BWA,Botswana,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0
CAF,Central African Republic,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0
CAN,Canada,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0
CHE,Switzerland,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0
CHI,Channel Islands,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0
CHL,Chile,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0
CHN,China,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0
CIV,Cote d'Ivoire,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0
CMR,Cameroon,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0
COG,"Congo, Rep.",AG.LND.EL5M.ZS,Land area below 5m (% of land area),0
COK,Cook Islands,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0
COL,Colombia,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0
COM,Comoros,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0
CPV,Cape Verde,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0
CRI,Costa Rica,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0
CUB,Cuba,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0
CUW,Curacao,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0
CYM,Cayman Islands,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0
CYP,Cyprus,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0
CZE,Czech Republic,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0
DEU,Germany,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0
DJI,Djibouti,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0
DMA,Dominica,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0
DNK,Denmark,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0
DOM,Dominican Republic,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0
DZA,Algeria,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0
EAP,East Asia & Pacific,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0
ECA,Europe & Central Asia,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0
ECU,Ecuador,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0
EGY,"Egypt, Arab Rep.",AG.LND.EL5M.ZS,Land area below 5m (% of land area),0
EMU,Euro area,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0
ERI,Eritrea,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0
ESP,Spain,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0
EST,Estonia,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0
ETH,Ethiopia,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0
FIN,Finland,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0
FJI,Fiji,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0
FRA,France,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0
FRO,Faeroe Islands,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0
FSM,"Micronesia, Fed. Sts.",AG.LND.EL5M.ZS,Land area below 5m (% of land area),0
GAB,Gabon,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0
GBR,United Kingdom,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0
GEO,Georgia,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0
GHA,Ghana,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0
GIB,Gibraltar,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0
GIN,Guinea,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0
GMB,"Gambia, The",AG.LND.EL5M.ZS,Land area below 5m (% of land area),0
GNB,Guinea-Bissau,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0
GNQ,Equatorial Guinea,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0
GRC,Greece,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0
GRD,Grenada,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0
GRL,Greenland,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0
GTM,Guatemala,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0
GUM,Guam,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0
GUY,Guyana,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0
HIC,High income,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0
HKG,"Hong Kong SAR, China",AG.LND.EL5M.ZS,Land area below 5m (% of land area),0
HND,Honduras,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0
HRV,Croatia,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0
HTI,Haiti,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0
HUN,Hungary,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0
IDN,Indonesia,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0
IMY,Isle of Man,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0
IND,India,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0
IRL,Ireland,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0
IRN,"Iran, Islamic Rep.",AG.LND.EL5M.ZS,Land area below 5m (% of land area),0
IRQ,Iraq,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0
ISL,Iceland,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0
ISR,Israel,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0
ITA,Italy,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0
